اسم الخدمة,RAG_Content,القطاع,خطوات الخدمة,المستندات المطلوبة,سعر الخدمة,رابط الخدمة
إصدار هوية مقيم,"اسم الخدمة: إصدار هوية مقيم
القطاع: الجوازات
الفئة المستهدفة: أعمال (صاحب عمل)
وصف الخدمة: تمكن الخدمة صاحب العمل من إصدار هوية مقيم (إقامة) للعامل الوافد إلكترونياً.
خطوات الخدمة: 1. الدخول إلى منصة أبشر أعمال;2. اختيار خدمات أعمالي;3. اختيار إصدار الإقامة;4. اختيار العامل المطلوب;5. التأكد من البيانات وسداد الرسوم;6. تأكيد الإصدار.",الجوازات,1. الدخول إلى منصة أبشر أعمال;2. اختيار خدمات أعمالي;3. اختيار إصدار الإقامة;4. اختيار العامل المطلوب;5. التأكد من البيانات وسداد الرسوم;6. تأكيد الإصدار.,سداد رسوم الإقامة والخدمات، سداد المخالفات المرورية إن وجدت، اجتياز الفحص الطبي بنجاح، وجود الشخص داخل المملكة.,600 ريال (للعمالة المنزلية)، 650 ريال (للقطاع الخاص),https://my.gov.sa/ar/services/398423
إصدار هوية مقيم,"المستندات المطلوبة: سداد رسوم الإقامة والخدمات، سداد المخالفات المرورية إن وجدت، اجتياز الفحص الطبي بنجاح، وجود الشخص داخل المملكة.
رسوم الخدمة: 600 ريال (للعمالة المنزلية)، 650 ريال (للقطاع الخاص)
الرابط الرسمي: https://my.gov.sa/ar/services/398423",الجوازات,1. الدخول إلى منصة أبشر أعمال;2. اختيار خدمات أعمالي;3. اختيار إصدار الإقامة;4. اختيار العامل المطلوب;5. التأكد من البيانات وسداد الرسوم;6. تأكيد الإصدار.,سداد رسوم الإقامة والخدمات، سداد المخالفات المرورية إن وجدت، اجتياز الفحص الطبي بنجاح، وجود الشخص داخل المملكة.,600 ريال (للعمالة المنزلية)، 650 ريال (للقطاع الخاص),https://my.gov.sa/ar/services/398423
إصدار الإقامة (أبشر أعمال),"اسم الخدمة: إصدار الإقامة (أبشر أعمال)
القطاع: وزارة الداخلية
الفئة المستهدفة: قطاع الأعمال
وصف الخدمة: تتيح لصاحب المنشأة إصدار هوية مقيم لأحد أفراد منشأته إلكترونياً.
خطوات الخدمة: 1. تسجيل الدخول لأبشر أعمال;2. اختيار خدمات أعمالي;3. إصدار الإقامة;4. إدخال البيانات المطلوبة وإتمام الخطوات.
المستندات المطلوبة: توفر بيانات العامل المبلّغ عنها نظاماً، وجود تأمين طبي ساري.
رسوم الخدمة: متغيرة",وزارة الداخلية,1. تسجيل الدخول لأبشر أعمال;2. اختيار خدمات أعمالي;3. إصدار الإقامة;4. إدخال البيانات المطلوبة وإتمام الخطوات.,توفر بيانات العامل المبلّغ عنها نظاماً، وجود تأمين طبي ساري.,متغيرة,https://my.gov.sa/ar/services/487367
إصدار الإقامة (أبشر أعمال),"رسوم الخدمة: متغيرة
الرابط الرسمي: https://my.gov.sa/ar/services/487367",وزارة الداخلية,1. تسجيل الدخول لأبشر أعمال;2. اختيار خدمات أعمالي;3. إصدار الإقامة;4. إدخال البيانات المطلوبة وإتمام الخطوات.,توفر بيانات العامل المبلّغ عنها نظاماً، وجود تأمين طبي ساري.,متغيرة,https://my.gov.sa/ar/services/487367
تجديد الإقامة (أبشر أعمال),"اسم الخدمة: تجديد الإقامة (أبشر أعمال)
القطاع: وزارة الداخلية
الفئة المستهدفة: قطاع الأعمال
وصف الخدمة: تمكن الخدمة صاحب العمل من تجديد هوية مقيم للعاملين لديه إلكترونياً.
خطوات الخدمة: 1. تسجيل الدخول لأبشر أعمال;2. خدمات أعمالي;3. تجديد الإقامة;4. اختيار العامل وتحديد مدة التجديد;5. سداد الرسوم والتأكيد.",وزارة الداخلية,1. تسجيل الدخول لأبشر أعمال;2. خدمات أعمالي;3. تجديد الإقامة;4. اختيار العامل وتحديد مدة التجديد;5. سداد الرسوم والتأكيد.,سداد الرسوم، سداد المخالفات المرورية، وجود تأمين طبي ساري، وجود العامل داخل المملكة.,متغيرة,https://my.gov.sa/ar/services/487325
تجديد الإقامة (أبشر أعمال),"المستندات المطلوبة: سداد الرسوم، سداد المخالفات المرورية، وجود تأمين طبي ساري، وجود العامل داخل المملكة.
رسوم الخدمة: متغيرة
الرابط الرسمي: https://my.gov.sa/ar/services/487325",وزارة الداخلية,1. تسجيل الدخول لأبشر أعمال;2. خدمات أعمالي;3. تجديد الإقامة;4. اختيار العامل وتحديد مدة التجديد;5. سداد الرسوم والتأكيد.,سداد الرسوم، سداد المخالفات المرورية، وجود تأمين طبي ساري، وجود العامل داخل المملكة.,متغيرة,https://my.gov.sa/ar/services/487325
إصدار رخصة السير (للمعارض),"اسم الخدمة: إصدار رخصة السير (للمعارض)
القطاع: المرور
الفئة المستهدفة: قطاع الأعمال (وكلاء ومعارض)
وصف الخدمة: تتيح لمعارض السيارات تسجيل المركبات الجديدة وإصدار رخصة السير للمشترين إلكترونياً.
خطوات الخدمة: 1. الدخول لأبشر أعمال;2. تسجيل مركبة جديدة;3. إدخال بيانات المشتري;4. التحقق من التأمين وسداد الرسوم;5. إصدار الرخصة.",المرور,1. الدخول لأبشر أعمال;2. تسجيل مركبة جديدة;3. إدخال بيانات المشتري;4. التحقق من التأمين وسداد الرسوم;5. إصدار الرخصة.,وجود تأمين ساري، سداد الرسوم المقررة، توفر بطاقة جمركية للمركبة.,متغيرة,https://my.gov.sa/ar/services/343564
إصدار رخصة السير (للمعارض),"المستندات المطلوبة: وجود تأمين ساري، سداد الرسوم المقررة، توفر بطاقة جمركية للمركبة.
رسوم الخدمة: متغيرة
الرابط الرسمي: https://my.gov.sa/ar/services/343564",المرور,1. الدخول لأبشر أعمال;2. تسجيل مركبة جديدة;3. إدخال بيانات المشتري;4. التحقق من التأمين وسداد الرسوم;5. إصدار الرخصة.,وجود تأمين ساري، سداد الرسوم المقررة، توفر بطاقة جمركية للمركبة.,متغيرة,https://my.gov.sa/ar/services/343564
توصيل الوثائق بالبريد,"اسم الخدمة: توصيل الوثائق بالبريد
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد
وصف الخدمة: طلب توصيل الوثائق الحكومية المصدرة عبر منصة أبشر إلى عنوان المستفيد الوطني.
خطوات الخدمة: 1. تسجيل الدخول لأبشر;2. اختيار توصيل الوثائق بالبريد;3. تحديد الوثيقة المراد توصيلها;4. التأكيد على العنوان وسداد رسوم التوصيل.
المستندات المطلوبة: وجود عنوان وطني مفعل، سداد رسوم الخدمة للبريد السعودي (سبل).",وزارة الداخلية,1. تسجيل الدخول لأبشر;2. اختيار توصيل الوثائق بالبريد;3. تحديد الوثيقة المراد توصيلها;4. التأكيد على العنوان وسداد رسوم التوصيل.,وجود عنوان وطني مفعل، سداد رسوم الخدمة للبريد السعودي (سبل).,رسوم التوصيل (متغيرة),https://my.gov.sa/ar/services/407624
توصيل الوثائق بالبريد,"رسوم الخدمة: رسوم التوصيل (متغيرة)
الرابط الرسمي: https://my.gov.sa/ar/services/407624",وزارة الداخلية,1. تسجيل الدخول لأبشر;2. اختيار توصيل الوثائق بالبريد;3. تحديد الوثيقة المراد توصيلها;4. التأكيد على العنوان وسداد رسوم التوصيل.,وجود عنوان وطني مفعل، سداد رسوم الخدمة للبريد السعودي (سبل).,رسوم التوصيل (متغيرة),https://my.gov.sa/ar/services/407624
