category,lang,question,ground_truth
الجوازات,Arabic,ما هي إجراءات ورسوم إصدار هوية مقيم؟,لإتمام خدمة إصدار هوية مقيم، اتبع الخطوات التالية: 1. الدخول إلى منصة أبشر أعمال;2. اختيار خدمات أعمالي;3. اختيار إصدار الإقامة;4. اختيار العامل المطلوب;5. التأكد من البيانات وسداد الرسوم;6. تأكيد الإصدار.. رسوم الخدمة هي: 600 ريال (للعمالة المنزلية)، 650 ريال (للقطاع الخاص).
الجوازات,Arabic,ما هي إجراءات ورسوم إصدار جواز بدل مفقود؟,لإتمام خدمة إصدار جواز بدل مفقود، اتبع الخطوات التالية: 1. الدخول لأبشر;2. خدمات الجوازات;3. طلب جديد;4. إصدار جواز بدل مفقود;5. سداد الرسوم واختيار طريقة الاستلام.. رسوم الخدمة هي: 300 ريال (لمدة 5 سنوات)، 600 ريال (لمدة 10 سنوات).
وزارة الداخلية,Arabic,ما هي إجراءات ورسوم تجديد الإقامة (أبشر أعمال)؟,لإتمام خدمة تجديد الإقامة (أبشر أعمال)، اتبع الخطوات التالية: 1. تسجيل الدخول لأبشر أعمال;2. خدمات أعمالي;3. تجديد الإقامة;4. اختيار العامل وتحديد مدة التجديد;5. سداد الرسوم والتأكيد.. رسوم الخدمة هي: متغيرة.
المرور,Arabic,ما هي إجراءات ورسوم مبايعة المركبات؟,لإتمام خدمة مبايعة المركبات، اتبع الخطوات التالية: 1. دخول البائع لأبشر وتحديد المركبة والسعر;2. إدخال بيانات المشتري والحساب البنكي;3. قبول المشتري للطلب وتحويل المبلغ لحساب وسيط;4. سداد الرسوم والتأكيد.. رسوم الخدمة هي: 380 ريال.
الأحوال المدنية,Arabic,ما هي إجراءات ورسوم تسجيل المواليد؟,لإتمام خدمة تسجيل المواليد، اتبع الخطوات التالية: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. تسجيل المواليد;4. اختيار المولود;5. تأكيد البيانات وطلب التوصيل.. رسوم الخدمة هي: مجانية (تطبق رسوم التوصيل).
الأحوال المدنية,Arabic,ما هي إجراءات ورسوم تجديد الهوية الوطنية؟,لإتمام خدمة تجديد الهوية الوطنية، اتبع الخطوات التالية: 1. الدخول لأبشر;2. خدماتي ثم الأحوال المدنية;3. تجديد الهوية الوطنية;4. رفع صورة شخصية مطابقة للمواصفات;5. سداد أجور التوصيل.. رسوم الخدمة هي: مجانية (تطبق رسوم التوصيل).
الأمن العام,Arabic,ما هي إجراءات ورسوم شهادة خلو سوابق؟,لإتمام خدمة شهادة خلو سوابق، اتبع الخطوات التالية: 1. الدخول لأبشر;2. الخدمات العامة;3. تقارير أبشر;4. طلب شهادة خلو سوابق;5. سداد الرسوم واستعراض الشهادة.. رسوم الخدمة هي: متغيرة.
المديرية العامة للسجون,Arabic,ما هي إجراءات ورسوم فرجت؟,لإتمام خدمة فرجت، اتبع الخطوات التالية: 1. الدخول لأبشر أو منصة فرجت. 2. اختيار تصنيف الحالة (المنطقة، المبلغ). 3. الحصول على رقم فاتورة سداد. 4. المساهمة بالمبلغ عبر البنك.. رسوم الخدمة هي: مجانية (الخدمة تبرعية).
المرور,Arabic,ما هي إجراءات ورسوم نقل اللوحات؟,لإتمام خدمة نقل اللوحات، اتبع الخطوات التالية: 1. تسجيل الدخول إلى أبشر. 2. اختيار المركبات ثم إدارة المركبات. 3. اختيار المركبة المعنية. 4. اختيار نقل اللوحات. 5. استكمال البيانات المطلوبة وتأكيد الطلب.. رسوم الخدمة هي: مجانية (للتنفيذ الرقمي).
الأحوال المدنية,Arabic,ما هي إجراءات ورسوم شهادة الميلاد الرقمية؟,لإتمام خدمة شهادة الميلاد الرقمية، اتبع الخطوات التالية: 1. الدخول لأبشر واختيار الخدمات العامة. 2. اختيار التحقق من وثيقة رقمية. 3. اختيار شهادة ميلاد وإدخال البيانات. 4. عرض الوثيقة وطباعتها.. رسوم الخدمة هي: مجانية.
الجوازات,Arabic,ما هي إجراءات ورسوم استعلام عن صلاحية التأشيرة؟,لإتمام خدمة استعلام عن صلاحية التأشيرة، اتبع الخطوات التالية: 1. الدخول لمنصة أبشر;2. استعلامات الجوازات;3. صلاحية التأشيرة;4. إدخال رقم الإقامة ورقم التأشيرة.. رسوم الخدمة هي: مجانية.
وزارة الداخلية,Arabic,ما هي إجراءات ورسوم استعلام عن البصمة؟,لإتمام خدمة استعلام عن البصمة، اتبع الخطوات التالية: 1. الدخول لأبشر;2. استعلامات;3. استعلام عن البصمة;4. إدخال رقم الهوية والرمز المرئي.. رسوم الخدمة هي: مجانية.
المرور,Arabic,ما هي إجراءات ورسوم إسقاط المركبات المهملة؟,لإتمام خدمة إسقاط المركبات المهملة، اتبع الخطوات التالية: 1. الاستعلام عن المراكز المعتمدة في أبشر;2. تسليم المركبة واللوحات للمركز;3. إعطاء رمز التحقق للمركز لإتمام الإسقاط.. رسوم الخدمة هي: مجانية (خلال الفترة التصحيحية).
الجوازات,Arabic,ما هي إجراءات ورسوم تمديد تأشيرة خروج وعودة (خارج المملكة)؟,لإتمام خدمة تمديد تأشيرة خروج وعودة (خارج المملكة)، اتبع الخطوات التالية: 1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص (خارج المملكة);4. طلب تمديد التأشيرة وسداد الرسوم.. رسوم الخدمة هي: 100 ريال (للمفردة).
الأحوال المدنية,Arabic,ما هي إجراءات ورسوم إصدار شهادة وفاة؟,لإتمام خدمة إصدار شهادة وفاة، اتبع الخطوات التالية: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. شهادة الوفاة;4. استعراض بلاغات الوفاة المسجلة;5. تأكيد الإصدار والطباعة.. رسوم الخدمة هي: مجانية.
الجوازات,English,What are the procedures and fees for إصدار هوية مقيم?,"To complete the إصدار هوية مقيم service, follow these steps: 1. الدخول إلى منصة أبشر أعمال;2. اختيار خدمات أعمالي;3. اختيار إصدار الإقامة;4. اختيار العامل المطلوب;5. التأكد من البيانات وسداد الرسوم;6. تأكيد الإصدار.. The service fee is: 600 ريال (للعمالة المنزلية)، 650 ريال (للقطاع الخاص)."
الجوازات,English,What are the procedures and fees for إصدار جواز بدل مفقود?,"To complete the إصدار جواز بدل مفقود service, follow these steps: 1. الدخول لأبشر;2. خدمات الجوازات;3. طلب جديد;4. إصدار جواز بدل مفقود;5. سداد الرسوم واختيار طريقة الاستلام.. The service fee is: 300 ريال (لمدة 5 سنوات)، 600 ريال (لمدة 10 سنوات)."
وزارة الداخلية,English,What are the procedures and fees for تجديد الإقامة (أبشر أعمال)?,"To complete the تجديد الإقامة (أبشر أعمال) service, follow these steps: 1. تسجيل الدخول لأبشر أعمال;2. خدمات أعمالي;3. تجديد الإقامة;4. اختيار العامل وتحديد مدة التجديد;5. سداد الرسوم والتأكيد.. The service fee is: متغيرة."
المرور,English,What are the procedures and fees for مبايعة المركبات?,"To complete the مبايعة المركبات service, follow these steps: 1. دخول البائع لأبشر وتحديد المركبة والسعر;2. إدخال بيانات المشتري والحساب البنكي;3. قبول المشتري للطلب وتحويل المبلغ لحساب وسيط;4. سداد الرسوم والتأكيد.. The service fee is: 380 ريال."
الأحوال المدنية,English,What are the procedures and fees for تسجيل المواليد?,"To complete the تسجيل المواليد service, follow these steps: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. تسجيل المواليد;4. اختيار المولود;5. تأكيد البيانات وطلب التوصيل.. The service fee is: مجانية (تطبق رسوم التوصيل)."
الأحوال المدنية,English,What are the procedures and fees for تجديد الهوية الوطنية?,"To complete the تجديد الهوية الوطنية service, follow these steps: 1. الدخول لأبشر;2. خدماتي ثم الأحوال المدنية;3. تجديد الهوية الوطنية;4. رفع صورة شخصية مطابقة للمواصفات;5. سداد أجور التوصيل.. The service fee is: مجانية (تطبق رسوم التوصيل)."
الأمن العام,English,What are the procedures and fees for شهادة خلو سوابق?,"To complete the شهادة خلو سوابق service, follow these steps: 1. الدخول لأبشر;2. الخدمات العامة;3. تقارير أبشر;4. طلب شهادة خلو سوابق;5. سداد الرسوم واستعراض الشهادة.. The service fee is: متغيرة."
المديرية العامة للسجون,English,What are the procedures and fees for فرجت?,"To complete the فرجت service, follow these steps: 1. الدخول لأبشر أو منصة فرجت. 2. اختيار تصنيف الحالة (المنطقة، المبلغ). 3. الحصول على رقم فاتورة سداد. 4. المساهمة بالمبلغ عبر البنك.. The service fee is: مجانية (الخدمة تبرعية)."
المرور,English,What are the procedures and fees for نقل اللوحات?,"To complete the نقل اللوحات service, follow these steps: 1. تسجيل الدخول إلى أبشر. 2. اختيار المركبات ثم إدارة المركبات. 3. اختيار المركبة المعنية. 4. اختيار نقل اللوحات. 5. استكمال البيانات المطلوبة وتأكيد الطلب.. The service fee is: مجانية (للتنفيذ الرقمي)."
الأحوال المدنية,English,What are the procedures and fees for شهادة الميلاد الرقمية?,"To complete the شهادة الميلاد الرقمية service, follow these steps: 1. الدخول لأبشر واختيار الخدمات العامة. 2. اختيار التحقق من وثيقة رقمية. 3. اختيار شهادة ميلاد وإدخال البيانات. 4. عرض الوثيقة وطباعتها.. The service fee is: مجانية."
الجوازات,English,What are the procedures and fees for استعلام عن صلاحية التأشيرة?,"To complete the استعلام عن صلاحية التأشيرة service, follow these steps: 1. الدخول لمنصة أبشر;2. استعلامات الجوازات;3. صلاحية التأشيرة;4. إدخال رقم الإقامة ورقم التأشيرة.. The service fee is: مجانية."
وزارة الداخلية,English,What are the procedures and fees for استعلام عن البصمة?,"To complete the استعلام عن البصمة service, follow these steps: 1. الدخول لأبشر;2. استعلامات;3. استعلام عن البصمة;4. إدخال رقم الهوية والرمز المرئي.. The service fee is: مجانية."
المرور,English,What are the procedures and fees for إسقاط المركبات المهملة?,"To complete the إسقاط المركبات المهملة service, follow these steps: 1. الاستعلام عن المراكز المعتمدة في أبشر;2. تسليم المركبة واللوحات للمركز;3. إعطاء رمز التحقق للمركز لإتمام الإسقاط.. The service fee is: مجانية (خلال الفترة التصحيحية)."
الجوازات,English,What are the procedures and fees for تمديد تأشيرة خروج وعودة (خارج المملكة)?,"To complete the تمديد تأشيرة خروج وعودة (خارج المملكة) service, follow these steps: 1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص (خارج المملكة);4. طلب تمديد التأشيرة وسداد الرسوم.. The service fee is: 100 ريال (للمفردة)."
الأحوال المدنية,English,What are the procedures and fees for إصدار شهادة وفاة?,"To complete the إصدار شهادة وفاة service, follow these steps: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. شهادة الوفاة;4. استعراض بلاغات الوفاة المسجلة;5. تأكيد الإصدار والطباعة.. The service fee is: مجانية."
الجوازات,French,Quelles sont les procédures et les frais pour إصدار هوية مقيم ?,"Pour compléter le service إصدار هوية مقيم, suivez ces étapes : 1. الدخول إلى منصة أبشر أعمال;2. اختيار خدمات أعمالي;3. اختيار إصدار الإقامة;4. اختيار العامل المطلوب;5. التأكد من البيانات وسداد الرسوم;6. تأكيد الإصدار.. Les frais de service sont : 600 ريال (للعمالة المنزلية)، 650 ريال (للقطاع الخاص)."
الجوازات,French,Quelles sont les procédures et les frais pour إصدار جواز بدل مفقود ?,"Pour compléter le service إصدار جواز بدل مفقود, suivez ces étapes : 1. الدخول لأبشر;2. خدمات الجوازات;3. طلب جديد;4. إصدار جواز بدل مفقود;5. سداد الرسوم واختيار طريقة الاستلام.. Les frais de service sont : 300 ريال (لمدة 5 سنوات)، 600 ريال (لمدة 10 سنوات)."
وزارة الداخلية,French,Quelles sont les procédures et les frais pour تجديد الإقامة (أبشر أعمال) ?,"Pour compléter le service تجديد الإقامة (أبشر أعمال), suivez ces étapes : 1. تسجيل الدخول لأبشر أعمال;2. خدمات أعمالي;3. تجديد الإقامة;4. اختيار العامل وتحديد مدة التجديد;5. سداد الرسوم والتأكيد.. Les frais de service sont : متغيرة."
