Sector,Service_Name,Target_Audience,Service_Description,Service_Steps,Requirements,Service_Fees,Official_URL,RAG_Content
الجوازات,إصدار هوية مقيم,أعمال (صاحب عمل),تمكن الخدمة صاحب العمل من إصدار هوية مقيم (إقامة) للعامل الوافد إلكترونياً.,1. الدخول إلى منصة أبشر أعمال;2. اختيار خدمات أعمالي;3. اختيار إصدار الإقامة;4. اختيار العامل المطلوب;5. التأكد من البيانات وسداد الرسوم;6. تأكيد الإصدار.,سداد رسوم الإقامة والخدمات، سداد المخالفات المرورية إن وجدت، اجتياز الفحص الطبي بنجاح، وجود الشخص داخل المملكة.,600 ريال (للعمالة المنزلية)، 650 ريال (للقطاع الخاص),https://my.gov.sa/ar/services/398423,"اسم الخدمة: إصدار هوية مقيم
القطاع: الجوازات
الفئة المستهدفة: أعمال (صاحب عمل)
وصف الخدمة: تمكن الخدمة صاحب العمل من إصدار هوية مقيم (إقامة) للعامل الوافد إلكترونياً.
خطوات الخدمة: 1. الدخول إلى منصة أبشر أعمال;2. اختيار خدمات أعمالي;3. اختيار إصدار الإقامة;4. اختيار العامل المطلوب;5. التأكد من البيانات وسداد الرسوم;6. تأكيد الإصدار.
المستندات المطلوبة: سداد رسوم الإقامة والخدمات، سداد المخالفات المرورية إن وجدت، اجتياز الفحص الطبي بنجاح، وجود الشخص داخل المملكة.
رسوم الخدمة: 600 ريال (للعمالة المنزلية)، 650 ريال (للقطاع الخاص)
الرابط الرسمي: https://my.gov.sa/ar/services/398423"
وزارة الداخلية,إصدار الإقامة (أبشر أعمال),قطاع الأعمال,تتيح لصاحب المنشأة إصدار هوية مقيم لأحد أفراد منشأته إلكترونياً.,1. تسجيل الدخول لأبشر أعمال;2. اختيار خدمات أعمالي;3. إصدار الإقامة;4. إدخال البيانات المطلوبة وإتمام الخطوات.,توفر بيانات العامل المبلّغ عنها نظاماً، وجود تأمين طبي ساري.,متغيرة,https://my.gov.sa/ar/services/487367,"اسم الخدمة: إصدار الإقامة (أبشر أعمال)
القطاع: وزارة الداخلية
الفئة المستهدفة: قطاع الأعمال
وصف الخدمة: تتيح لصاحب المنشأة إصدار هوية مقيم لأحد أفراد منشأته إلكترونياً.
خطوات الخدمة: 1. تسجيل الدخول لأبشر أعمال;2. اختيار خدمات أعمالي;3. إصدار الإقامة;4. إدخال البيانات المطلوبة وإتمام الخطوات.
المستندات المطلوبة: توفر بيانات العامل المبلّغ عنها نظاماً، وجود تأمين طبي ساري.
رسوم الخدمة: متغيرة
الرابط الرسمي: https://my.gov.sa/ar/services/487367"
وزارة الداخلية,تجديد الإقامة (أبشر أعمال),قطاع الأعمال,تمكن الخدمة صاحب العمل من تجديد هوية مقيم للعاملين لديه إلكترونياً.,1. تسجيل الدخول لأبشر أعمال;2. خدمات أعمالي;3. تجديد الإقامة;4. اختيار العامل وتحديد مدة التجديد;5. سداد الرسوم والتأكيد.,سداد الرسوم، سداد المخالفات المرورية، وجود تأمين طبي ساري، وجود العامل داخل المملكة.,متغيرة,https://my.gov.sa/ar/services/487325,"اسم الخدمة: تجديد الإقامة (أبشر أعمال)
القطاع: وزارة الداخلية
الفئة المستهدفة: قطاع الأعمال
وصف الخدمة: تمكن الخدمة صاحب العمل من تجديد هوية مقيم للعاملين لديه إلكترونياً.
خطوات الخدمة: 1. تسجيل الدخول لأبشر أعمال;2. خدمات أعمالي;3. تجديد الإقامة;4. اختيار العامل وتحديد مدة التجديد;5. سداد الرسوم والتأكيد.
المستندات المطلوبة: سداد الرسوم، سداد المخالفات المرورية، وجود تأمين طبي ساري، وجود العامل داخل المملكة.
رسوم الخدمة: متغيرة
الرابط الرسمي: https://my.gov.sa/ar/services/487325"
المرور,إصدار رخصة السير (للمعارض),قطاع الأعمال (وكلاء ومعارض),تتيح لمعارض السيارات تسجيل المركبات الجديدة وإصدار رخصة السير للمشترين إلكترونياً.,1. الدخول لأبشر أعمال;2. تسجيل مركبة جديدة;3. إدخال بيانات المشتري;4. التحقق من التأمين وسداد الرسوم;5. إصدار الرخصة.,وجود تأمين ساري، سداد الرسوم المقررة، توفر بطاقة جمركية للمركبة.,متغيرة,https://my.gov.sa/ar/services/343564,"اسم الخدمة: إصدار رخصة السير (للمعارض)
القطاع: المرور
الفئة المستهدفة: قطاع الأعمال (وكلاء ومعارض)
وصف الخدمة: تتيح لمعارض السيارات تسجيل المركبات الجديدة وإصدار رخصة السير للمشترين إلكترونياً.
خطوات الخدمة: 1. الدخول لأبشر أعمال;2. تسجيل مركبة جديدة;3. إدخال بيانات المشتري;4. التحقق من التأمين وسداد الرسوم;5. إصدار الرخصة.
المستندات المطلوبة: وجود تأمين ساري، سداد الرسوم المقررة، توفر بطاقة جمركية للمركبة.
رسوم الخدمة: متغيرة
الرابط الرسمي: https://my.gov.sa/ar/services/343564"
وزارة الداخلية,توصيل الوثائق بالبريد,أفراد,طلب توصيل الوثائق الحكومية المصدرة عبر منصة أبشر إلى عنوان المستفيد الوطني.,1. تسجيل الدخول لأبشر;2. اختيار توصيل الوثائق بالبريد;3. تحديد الوثيقة المراد توصيلها;4. التأكيد على العنوان وسداد رسوم التوصيل.,وجود عنوان وطني مفعل، سداد رسوم الخدمة للبريد السعودي (سبل).,رسوم التوصيل (متغيرة),https://my.gov.sa/ar/services/407624,"اسم الخدمة: توصيل الوثائق بالبريد
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد
وصف الخدمة: طلب توصيل الوثائق الحكومية المصدرة عبر منصة أبشر إلى عنوان المستفيد الوطني.
خطوات الخدمة: 1. تسجيل الدخول لأبشر;2. اختيار توصيل الوثائق بالبريد;3. تحديد الوثيقة المراد توصيلها;4. التأكيد على العنوان وسداد رسوم التوصيل.
المستندات المطلوبة: وجود عنوان وطني مفعل، سداد رسوم الخدمة للبريد السعودي (سبل).
رسوم الخدمة: رسوم التوصيل (متغيرة)
الرابط الرسمي: https://my.gov.sa/ar/services/407624"
الجوازات,إصدار جواز بدل مفقود,أفراد (مواطنين),تمكن المواطن من طلب إصدار جواز سفر سعودي جديد عوضاً عن المفقود إلكترونياً.,1. الدخول لأبشر;2. خدمات الجوازات;3. طلب جديد;4. إصدار جواز بدل مفقود;5. سداد الرسوم واختيار طريقة الاستلام.,الإبلاغ عن فقدان الجواز مسبقاً، سداد الرسوم، وجود عنوان وطني.,300 ريال (لمدة 5 سنوات)، 600 ريال (لمدة 10 سنوات),https://my.gov.sa/ar/services/343104,"اسم الخدمة: إصدار جواز بدل مفقود
القطاع: الجوازات
الفئة المستهدفة: أفراد (مواطنين)
وصف الخدمة: تمكن المواطن من طلب إصدار جواز سفر سعودي جديد عوضاً عن المفقود إلكترونياً.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات الجوازات;3. طلب جديد;4. إصدار جواز بدل مفقود;5. سداد الرسوم واختيار طريقة الاستلام.
المستندات المطلوبة: الإبلاغ عن فقدان الجواز مسبقاً، سداد الرسوم، وجود عنوان وطني.
رسوم الخدمة: 300 ريال (لمدة 5 سنوات)، 600 ريال (لمدة 10 سنوات)
الرابط الرسمي: https://my.gov.sa/ar/services/343104"
الأحوال المدنية,تسجيل المواليد,أفراد,تمكن الوالدين من تسجيل واقعة الميلاد إلكترونياً وطلب توصيل شهادة الميلاد وسجل الأسرة.,1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. تسجيل المواليد;4. اختيار المولود;5. تأكيد البيانات وطلب التوصيل.,وجود تبليغ ولادة إلكتروني من المستشفى، أن يكون مقدم الطلب الأب أو الأم.,مجانية (تطبق رسوم التوصيل),https://my.gov.sa/ar/services/112099,"اسم الخدمة: تسجيل المواليد
القطاع: الأحوال المدنية
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن الوالدين من تسجيل واقعة الميلاد إلكترونياً وطلب توصيل شهادة الميلاد وسجل الأسرة.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. تسجيل المواليد;4. اختيار المولود;5. تأكيد البيانات وطلب التوصيل.
المستندات المطلوبة: وجود تبليغ ولادة إلكتروني من المستشفى، أن يكون مقدم الطلب الأب أو الأم.
رسوم الخدمة: مجانية (تطبق رسوم التوصيل)
الرابط الرسمي: https://my.gov.sa/ar/services/112099"
الجوازات,إصدار تأشيرة خروج وعودة أو نهائي,أفراد,إصدار تأشيرات السفر للخارج أو المغادرة النهائية للمكفولين أو أفراد الأسرة.,1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص المستهدف;4. تحديد نوع التأشيرة والمدة;5. الإصدار والتأكيد.,سداد الرسوم، سريان مفعول الإقامة والجواز، تواجد الشخص داخل المملكة، عدم وجود مخالفات مرورية.,200 ريال (للخروج والعودة المفردة),https://my.gov.sa/ar/services/269423,"اسم الخدمة: إصدار تأشيرة خروج وعودة أو نهائي
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: إصدار تأشيرات السفر للخارج أو المغادرة النهائية للمكفولين أو أفراد الأسرة.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص المستهدف;4. تحديد نوع التأشيرة والمدة;5. الإصدار والتأكيد.
المستندات المطلوبة: سداد الرسوم، سريان مفعول الإقامة والجواز، تواجد الشخص داخل المملكة، عدم وجود مخالفات مرورية.
رسوم الخدمة: 200 ريال (للخروج والعودة المفردة)
الرابط الرسمي: https://my.gov.sa/ar/services/269423"
الجوازات,الاستعلام عن حالة تأشيرة خروج وعودة,أفراد,خدمة استعلامية تتيح معرفة تفاصيل وصلاحية تأشيرة الخروج والعودة.,1. الدخول لأبشر;2. قسم العمالة أو أفراد الأسرة;3. استعلامات;4. حالة تأشيرة خروج وعودة;5. إدخال البيانات المطلوبة.,توفر رقم الإقامة ورقم رخصة العمل أو رقم الجواز.,مجانية,https://my.gov.sa/ar/services/269448,"اسم الخدمة: الاستعلام عن حالة تأشيرة خروج وعودة
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: خدمة استعلامية تتيح معرفة تفاصيل وصلاحية تأشيرة الخروج والعودة.
خطوات الخدمة: 1. الدخول لأبشر;2. قسم العمالة أو أفراد الأسرة;3. استعلامات;4. حالة تأشيرة خروج وعودة;5. إدخال البيانات المطلوبة.
المستندات المطلوبة: توفر رقم الإقامة ورقم رخصة العمل أو رقم الجواز.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/269448"
المرور,الاعتراض على المخالفات المرورية,أفراد,تتيح للمستفيد الاعتراض إلكترونياً على المخالفات المرورية المسجلة ضده.,1. الدخول لأبشر;2. خدماتي;3. خدمات المرور;4. الاعتراض على المخالفات المرورية;5. اختيار المخالفة وتقديم الاعتراض.,تقديم الاعتراض خلال 30 يوماً من تسجيل المخالفة، ألا يكون قد صدر قرار سابق على نفس المخالفة.,مجانية,https://my.gov.sa/ar/services/266205,"اسم الخدمة: الاعتراض على المخالفات المرورية
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: تتيح للمستفيد الاعتراض إلكترونياً على المخالفات المرورية المسجلة ضده.
خطوات الخدمة: 1. الدخول لأبشر;2. خدماتي;3. خدمات المرور;4. الاعتراض على المخالفات المرورية;5. اختيار المخالفة وتقديم الاعتراض.
المستندات المطلوبة: تقديم الاعتراض خلال 30 يوماً من تسجيل المخالفة، ألا يكون قد صدر قرار سابق على نفس المخالفة.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/266205"
